Customer #,Name,Address,City,ST,Zip,Phone,Category,Custom Category
82518,AGO #35 Rockford Citgo,470 E. Division,Rockford,MI,49341-2704,616 866-5425,Milk,MILK
11588,AGO #36 D Alpine BP,3271 Alpine Ave. NW,Grand Rapids,MI,49544,616 6479341,Milk,MILK
82522,AGO #37 Sprinkle Road Citgo,7025 Sprinkle Rd.,Portage,MI,49002-2704,269 3291270,Milk,MILK
82521,AGO #38 D Avenue Citgo,5500 West D Ave.,Kalamazoo,MI,49009-2704,269 3452017,Milk,MILK
82519,AGO #39 9th Street Citgo,5233 S 9th Street,Kalamazoo,MI,49009-2704,269 3537545,Milk,MILK
11598,AGO #40 D Burton Citgo,800 Burton SW,Wyoming,MI,49508-2704,616 2465249,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11597,AGO #41 D Coopersville Citgo,1169 W Randall,Coopersville,MI,49404-2704,616 8378416,Milk,MILK
11594,AGO #42 D Grandville BP,3935 28th St SW,Grandville,MI,49418-2704,616 532-4781,Milk,MILK
82536,AGO #43 Gowen,12091 18 Mile,Gowen,MI,49326-2704,616 984-5895,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82537,AGO #44 Topp Stop AGO,8768 Belding Road,Rockford,MI,49341-2704,616 874-7244,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11600,AGO #45 D-M-91 Citgo,1220 N Lafayette,Greenville,MI,48838-2704,616 225-3434,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11612,AGO #45 IC-M-91 Citgo,1220 N Lafayette,Greenville,MI,48838-2704,616 225-3434,Serves Ice Cream,SERVES ICE CREAM
11609,AGO #46 D North Alpine Citgo,5960 Alpine Avenue NW,Comstock Park,MI,49321-2704,616 785-4731,Milk,MILK
11602,AGO #46 IC North Alpine Citgo,5960 Alpine Avenue NW,Comstock Park,MI,49321-2704,616 785-4731,Serves Ice Cream,SERVES ICE CREAM
11610,AGO #47 D 76th Street Citgo,250 76th Street SW,Kentwood,MI,49508-2704,616 827-2535,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11613,AGO #48 D Lansing Citgo,4019 S Martin L King Blvd,Lansing,MI,48910-2704,517-393-2100,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11611,AGO #49 D East 44th St Citgo,1920 44th Street SE,Kentwood,MI,49508-2704,616 827-2560,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11616,AGO #50 D Wilson Leonard,1162 Wilson Ave,Grand Rapids,MI,49534,616-406-6676,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11617,AGO #50 IC Wilson Leonard,1162 Wilson Ave,Grand Rapids,MI,49534,,Serves Ice Cream,SERVES ICE CREAM
82545,AGO #51 DeWitt,12997 Old U.S. 27,DeWitt,MI,48820,517-624-2101,Milk,MILK
82546,AGO #52 East Lansing,100 E Saginaw St,East Lansing,MI,48823,,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82553,AGO #53 Russel Rd,232 E Bard Rd,Muskegon,MI,49445,231-766-3000,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82554,AGO #54 Whitehall,1845 White Lake Dr,Whitehall,MI,49461,231-894-6100,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82555,AGO #55 Fruitvale,4160 Fruitvale Rd,Montague,MI,49437,231-894-0801,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82556,AGO #56 Ravenna,3445 S Maple Island Rd,Ravenna,MI,49451,231-375-0802,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82557,AGO #57 New Era,4061 S Oceana Dr,New Era,MI,49446,231-559-0302,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
10042,AJ'S,Hill And Hollow Campground,Pentwater,MI,49449-4525,231 869-5811,"Sells Ice Cream, Milk","SELLS ICE CREAM, MILK"
10066,Ajooni Inc,2015 S M-33,West Branch,MI,48661,248-520-2312,Milk,MILK
10065,Aldea Coffee LLC,1537 S Getty St,Muskegon,MI,49440,616-843-0846,Milk,MILK
11521,"Alinosi, Inc",12748 E McNichols Rd,Detroit,MI,48205,313-527-3195,Serves Soft Serve,SERVES SOFT SERVE
190549,All About Discounts/Sugar&Ice,103 S Randolph St,Garrett,IN,46738,260-494-4351,Sells Ice Cream,SELLS ICE CREAM
10560,All American North Cntry St #1,17645 Tyrone Ave,Kent City,MI,49330-2902,616 675-5060,Milk,MILK
10561,All American North Cntry St #2,11764 N Division,Sparta,MI,49345-2902,616 887-0659,Milk,MILK
10562,All American North Cntry St #3,1596 E 88th Street,Newaygo,MI,49337-2902,231 652-4266,Milk,MILK
11010,Alma Expo Arco Inc.,639 Wright Ave,Alma,MI,48801,574-400-9434,Milk,MILK
11011,Alma Expo Inc.,802 E Superior St,Alma,MI,48801,574-400-9434,Milk,MILK
10159,Almont Pastry Shop,102 N Main St,Almont Township,MI,48003,810 798-2171,"Sells Ice Cream, Milk","SELLS ICE CREAM, MILK"
10088,Aloha Camp Store,1303 Main-Aloha,Cheboygan,MI,49721-1818,231 625-2552,Milk,MILK
10021,Alpine Chocolat Haus - Kitchen,505 S Wisconsin Ave,Gaylord,MI,49735,989-448-0682,Serves Soft Serve,SERVES SOFT SERVE
11533,American Undercar Inc,9963 E Stanton Rd,Crystal,MI,48818-9769,989 763-3591,Sells Ice Cream,SELLS ICE CREAM
130630,Amoco - Laddi Legacy,12495 E McKinley Hwy,Michawaka,IN,46545,574-252-5102,Milk,MILK
10262,Amway Grand Plaza,187 Monroe NW,Grand Rapids,MI,49503,616 7766443,Milk,MILK
10263,Amy's Kitchen Watervliet,134 N Main St.,Watervliet,MI,49098,269-876-1326,Serves Soft Serve,SERVES SOFT SERVE
10272,Anchor Coffee LLC,5160 N Hubbard Lake Rd,Spruce,MI,48762-1428,989 727-1090,Milk,MILK
21554,Anew Borculo Fuel,6398 96th Avenue,Zeeland,MI,49464-2704,616 748-1843,Milk,MILK
11871,Anna's House Northland,5488 Northland Dr NE,Grand Rapids,MI,49525,616-330-3310,Milk,MILK
11844,Apple Corner Store,2381 E Apple Ave,Muskegon,MI,49442,231-777-3090,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
10109,Arcadia Marine Inc,17073 6th St,Arcadia,MI,49613-1818,231 889-4555,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
180532,Arrows Restaurant,4225 32nd Ave.,Hudsonville,MI,49426,616 896-0033,Milk,MILK
10122,Ashley Party Store,128 S Sterling,Ashley,MI,48806-1818,989 847-2474,Milk,MILK
11819,Ashton General Store,10989 210th Ave,Reed City,MI,49677,231-832-3310,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11839,"Aunt Belle's Kitchen, LLC",8451 Belding Rd NE,Rockford,MI,49428,616-884-0767,Sells Ice Cream,SELLS ICE CREAM
182382,Aunt Tiffy's Market,5815 St. Clair Highway,China,MI,48054,810-329-9432,Sells Ice Cream,SELLS ICE CREAM
11850,Azucar Ice Cream Y Mas,8101 W Vernor,Detroit,MI,48209,313-656-9409,Serves Soft Serve,SERVES SOFT SERVE
22751,B-Town Party Store,3974 S. M-18,Beaverton,MI,48612-1428,989-289-4720,Milk,MILK
21700,B & C Dairy Freeze ( KEY #68 ),1443 M-89,Otsego,MI,49078-4308,269 806-9831,Serves Soft Serve,SERVES SOFT SERVE
21702,B & D Creamery,692 W Center,Essexville,MI,48732,989-316-2367,Serves Soft Serve,SERVES SOFT SERVE
21698,B&B Party Store I/C,509 Leonard,Grand Rapids,MI,49504-2902,616 454-4697,Milk,MILK
21512,Babe's Corner,331 South Washington Square,Lansing,MI,48933,517 939-9598,Sells Ice Cream,SELLS ICE CREAM
21885,Back 40 Grocery & Variety,17626 Frank Myers Rd,Cambridge City,IN,47327,765-238-5284,"Sells Ice Cream, Serves Ice Cream","SELLS ICE CREAM, SERVES ICE CREAM"
20417,Baldwin Quick Stop,711 N. Michigan Ave.,Baldwin,MI,49304-2902,231 745-9427,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
21498,Banana Boat - Corunna Rd.,3721 Corunna Rd.,Flint,MI,48432-6610,716 930-1531,Serves Soft Serve,SERVES SOFT SERVE
22705,Barden's Farm Market,1101 Pheonix St,South Haven,MI,49090-2902,269 2141546,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
22709,Baroda Soda LLC,8918 First Street,Baroda,MI,49101,616-633-2262,"Sells Ice Cream, Milk","SELLS ICE CREAM, MILK"
22710,Barton City General Store,1866 W Trask Lake Rd,Barton City,MI,48705-6610,989 736-8248,Milk,MILK
22735,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Milk, Serves Ice Cream, Serves Soft Serve","MILK, SERVES ICE CREAM, SERVES SOFT SERVE"
22736,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
22737,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Sells Ice Cream, Milk, Serves Soft Serve","SELLS ICE CREAM, MILK, SERVES SOFT SERVE"
22738,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
42640,Bartos 2,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
22734,Bartos 3,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Sells Ice Cream, Milk, Serves Ice Cream","SELLS ICE CREAM, MILK, SERVES ICE CREAM"
22733,Bartos Distributing,13321 Stark Rd,Livonia,MI,48150-9738,734 422-7725,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
22739,Bartos Rte 69,13321 Stark Rd,Livonia,MI,48150-9738,734-422-7725,Milk,MILK
22485,Beachplace ( KEY #92 ),2415 Ottawa Beach Road,Holland,MI,49424-4308,616 399-2939,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
22492,Beal City Village Store,2988 W Beal City Road,Mt Pleasant,MI,48858-1818,989 644-2243,Milk,MILK
20023,Bear Lake Market,11740 Chippewa Hwy,Bear Lake,MI,49614-2206,231 864-4640,Milk,MILK
20033,Beards Country Store,11289 Silver Lake Rd,Byron,MI,48418-2902,810 266-5130,Milk,MILK
20027,Beechtree Party Store-Sunoco,540 S. Beech Street,Grand Haven,MI,49417-2902,616 414-9000,Milk,MILK
20420,Ben & Janie's,6035 US 223 Unit A,Addison,MI,49420-1320,567 298-8866,Serves Ice Cream,SERVES ICE CREAM
21275,Bent Tree Markets,58878 M-51 South,Dowagiac,MI,49047-2704,269 462-9734,Milk,MILK
212755,Berlin Fairy Dairy Group,18945 56th Ave,Coopersville,MI,49404,616-430-1258,Milk,MILK
20085,Besons Corner Store,1491 Huron Road,Linwood,MI,48634-6610,989 697-5915,Milk,MILK
21356,Bethany Beach Tab (KEY #10),12584 Oak Park Ave.,Sawyer,MI,49125-4308,224 234-8626,Sells Ice Cream,SELLS ICE CREAM
20059,Big Bend Family Campground,513 Conrad Rd,Standish,MI,48658,989-653-2267,Milk,MILK
21850,Big Dipper Wayland (KEY #42 ),145 W. Superior,Wayland,MI,49348-4308,269 792-6428,Serves Soft Serve,SERVES SOFT SERVE
21851,Big Happy's LLC,2638 S 148th Ave,Hesperia,MI,49421,231-373-9583,Serves Soft Serve,SERVES SOFT SERVE
21859,Big Oak BBQ,5233 S Straits Hwy,Indian River,MI,49749,231-420-2604,Serves Soft Serve,SERVES SOFT SERVE
20192,Big Star Scoops 'N' Treats LLC,2703 W 76th Street,Baldwin,MI,49304-4308,231 303-2979,Serves Soft Serve,SERVES SOFT SERVE
20214,Big Top Ice Cream Shop,1008 E Center,Ithaca,MI,48847-1320,989 302-1373,"Sells Ice Cream, Serves Soft Serve","SELLS ICE CREAM, SERVES SOFT SERVE"
20620,Biggby #1 ABM,300 W Grand Rivere Ave,East Lansing,MI,48823,517-332-1471,Milk,MILK
20181,Biggby #1026 Grand Haven,621 A Way,Grand Haven,MI,49417,616 607-2922,Milk,MILK
20154,Biggby #1035 Hudsonville,3743 Baldwin St,Hudsonville,MI,49426,616 325-4437,Milk,MILK
20116,Biggby #1037 Hamilton,3424 Lincoln Road,Hamilton,MI,49419,616-836-6563,Milk,MILK
20109,Biggby #1065 Richmond,67421 S Main Street,Richmond,MI,48062,586-822-1140,Milk,MILK
20121,Biggby #1081 Howard City,20055 W Edgar Rd,Howard City,MI,49329,231-937-1075,Milk,MILK
20268,Biggby #1090 Saginaw,3743 E Holland Rd,Saginaw,MI,48601,989-906-1819,Milk,MILK
20203,Biggby #1117 Mt. Morris,11360 N Saginaw St,Mt. Morris,MI,48458,810-547-1494,Milk,MILK
20807,Biggby #1124 Allegan,805 Marshall St,Allegan,MI,49010,269-895-5001,Milk,MILK
20177,Biggby #1127 Mishawaka,213 E McKinley,Mishawaka,IN,46545,(574) 217-7625,Milk,MILK
20810,Biggby #1138 Harrison,717 N 1st St,Harrison,MI,48625,989-630-0224,Milk,MILK
20202,Biggby #1142 Jackson,320 Brooklyn Rd,Jackson,MI,49201,517-414-7525,Milk,MILK
20813,Biggby #1178 Caro,3511 Mertz Rd,Caro,MI,48723,989-325-7003,Milk,MILK
20801,"Biggby #118 Threshold, Inc",8741 W Saginaw Hwy,Lansing,MI,48917,517-627-1168,Milk,MILK
20642,Biggby #122 ABM,2701 Woodville Rd,Northwood,OH,43619,,Milk,MILK
20350,Biggby #1226 Holland,660 Chicago Dr,Holland,MI,49423,616-396-1113,Milk,MILK
20353,Biggby #1227 Holland,1000 Washington Ave,Holland,MI,49423,616-294-3639,Milk,MILK
20360,Biggby #1228 Zeeland,501 West Main Ave,Zeeland,MI,49464,616-239-1334,Milk,MILK
20357,Biggby #1229 Holland,225 College Ave,Holland,MI,49423,616-499-6106,Milk,MILK
20359,Biggby #1230 Holland,12719 Riley St,Holland,MI,49424,616-344-2383,Milk,MILK
20156,Biggby #1235 Cadillac,1818 N. Mitchell,Cadillac,MI,49601-3080,231-444-6065,Milk,MILK
20804,Biggby #125 Home Ground Inc,13181 Schavey Rd,DeWitt,MI,48820,517-668-1418,Milk,MILK
20636,Biggby #127 ABM,6910 Airport Hwy Suite 1,Holland,OH,43609,,Milk,MILK
20637,Biggby #129 ABM,26567 N Dixie Hwy #133,Perrysburg,OH,43551,,Milk,MILK
20638,Biggby #130 ABM,4031 N McCord Rd,Sylvania,OH,43560,,Milk,MILK
20623,Biggby #140 ABM,1429 W Saginaw St #100,East Lansing,MI,,517-324-7007,Milk,MILK
20665,Biggby #143 Jackson,1025 N Wisner,Jackson,MI,49202,517-499-3055,Milk,MILK
20624,Biggby #151 ABM,4560 W Main St,Kalamazoo,MI,48823,269-552-9240,Milk,MILK
20635,Biggby #163 ABM,947 Trowbridge Rd,East Lansing,MI,48823,517-332-1471,Milk,MILK
20805,Biggby #170 A Doppelganger,1077 South US 27,St Johns,MI,48820,989-227-1300,Milk,MILK
20639,Biggby #195 ABM,1515 S Bryne Rd,Toledo,OH,43614,,Milk,MILK
20800,Biggby #214 Grand Ledge,820 Charlevoix Dr,Grand Ledge,MI,48837,517-666-1015,Milk,MILK
20802,"Biggby #215 Trophy Point, Inc",2002 W Saginaw Hwy,Lansing,MI,48917,517-484-1979,Milk,MILK
20625,Biggby #222 ABM,750 N Cedar St #100,Lansing,MI,48906,517-374-7444,Milk,MILK
20640,Biggby #223 ABM,4204 Sylvania Ave,Toledo,OH,43623,,Milk,MILK
20270,Biggby #244 Mason JE Coffee,661 N Cedar St,Mason,MI,,517-676-2280,Milk,MILK
20190,Biggby #266 Henry,3295 Henry St.,Muskegon,MI,49441,231 733-0320,Milk,MILK
20816,Biggby #324 Elkhart,195 County Rd 6 W,Elkhart,IN,46514,574-333-2010,Milk,MILK
20140,Biggby #333 Owosso,1475 E. Main St.,Owosso,MI,48867,989-720-2442,Milk,MILK
20705,Biggby #336 Atkinson,3093 S. Linden Rd.,Flint,MI,48507-3080,810 422-9443,Milk,MILK
20627,Biggby #342 ABM,1110 W. Michigan Ave,Marshall,MI,49068,269 781-4806,Milk,MILK
20110,Biggby #344 Kraft,2700 Kraft Ave SE,Grand Rapids,MI,49546,,Milk,MILK
20260,Biggby #345 Albion,217 E Michigan Ave,Albion,MI,49224,517-629-9800,Milk,MILK
20628,Biggby #349 ABM,500 E Michigan Ave #190,Lansing,MI,48912,517-374-1314,Milk,MILK
20111,Biggby #357 Caledonia,6426 100th St SE,Caledonia,MI,49316,,Milk,MILK
20108,Biggby #380 Lowell,11826 Fulton St,Lowell,MI,49331,616-987-3328,Milk,MILK
20629,Biggby #384 ABM,559 N Telegraph Ste 548,Monroe,MI,48161,734-344-7408,Milk,MILK
20630,Biggby #385 ABM,1602 Haslett Rd,Haslett,MI,48840,517-483-2771,Milk,MILK
20196,Biggby #391 Apple Ave.,1684 E. Apple Ave.,Muskegon,MI,49442,231-767-9201,Milk,MILK
20641,Biggby #395 ABM,7427 W Central Ave,Toledo,OH,43617,,Milk,MILK
20631,Biggby #396 ABM,3980 Platt Rd Ste A,Ann Arbor,MI,48108,734-368-9384,Milk,MILK
20632,Biggby #408 ABM,4230 S MLK Blvd,Lansing,MI,48910,517-708-0210,Milk,MILK
20112,Biggby #419 Wayland,1114 Superior St,Wayland,MI,49348,,Milk,MILK
20803,"Biggby #424 The Corps, Inc",6333 St Joseph Hwy,Lansing,MI,48917,517-203-5813,Milk,MILK
20361,Biggby #425 Spring Lake,510 W Savidge Rd,Spring Lake,MI,49456,616-827-7025,Milk,MILK
20155,Biggby #427 Sparta,275 S. State St.,Sparta,MI,49345,616 951-9254,Milk,MILK
20271,Biggby #438 Jackson JE Coffee,2896 Springport Rd,Jackson,MI,49201,517-795-2812,Milk,MILK
20174,Biggby #448 Battle Creek,1101 W. Columbia Ave.,Battle Creek,MI,49015,269 599-8488,Milk,MILK
20261,Biggby #452 Jackson,405 S Cooper St,Jackson,MI,49201,517-780-9558,Milk,MILK
20164,Biggby #454 Fremont,1231 West Main St,Fremont,MI,49412,616 325-4437,Milk,MILK
20183,Biggby #463 South Haven,343 Blue Star Hwy,South Haven,MI,49090,269 872-3938,Milk,MILK
20144,Biggby #464 Flushing,6429 W. Pierson Rd,Flushing,MI,48433,810-487-9653,Milk,MILK
20138,Biggby #467 Ludington,4551 West US Hwy 10,Ludington,MI,49431,616 325-4437,Milk,MILK
20666,Biggby #473 Jackson,2003 Horton Rd,Jackson,MI,49203,517-748-7310,Milk,MILK
20147,Biggby #480 Davison,709 S. State Rd,Davison,MI,48423,810-412-9014,Milk,MILK
20702,Biggby #488 Atkinson,5105 W. Vienna Rd.,Clio,MI,48420-1428,810 368-4155,Milk,MILK
20198,Biggby #491 Spring Arbor,7851 Spring Arbor Rd,Spring Arbor,MI,49283,517-414-7525,Milk,MILK
20200,Biggby #493 Greenville,12798 OLD 14 Mile Road,Greenville,MI,48838,616 835-6855,Milk,MILK
20622,Biggby #5 ABM,536 Elmwood Dr.,Lansing,MI,48917,517 321-4146,Milk,MILK
20117,Biggby #500 Elkhart,5230 Beck Dr,Elkhart,IN,46516,,Milk,MILK
20118,Biggby #501 Roseland,103 N Dixie Way,Roseland,IN,46637,,Milk,MILK
20187,Biggby #514 Coopersville,1145 W. Randall St,Coopersville,MI,49404,616 997-4020,Milk,MILK
20150,Biggby #517 Whitehall,1315 Colby Rd.,Whitehall,MI,49461,231 286-4741,Milk,MILK
20817,Biggby #518 Granger,308 W Cleveland Rd,Granger,IN,46530,574-855-3481,Milk,MILK
20184,Biggby #519 Saugatuck KEY #114,6432 Blue Star Hwy,Saugatuck,MI,49453,269 455-5582,Milk,MILK
20119,Biggby #523 Goshen,2010 Elkhart Rd,Goshen,IN,46526,,Milk,MILK
20180,Biggby #536 Muskegon,5169 Harvey St  Ste A,Norton Shores,MI,49444,231 733-0320,Milk,MILK
20175,Biggby #551 Kalamazoo,6556 W. Main,Kalamazoo,MI,49009,269 599-8488,Milk,MILK
20176,Biggby #555 Benton Harbon,1990 Mall Place,Benton Harbor,MI,49022,269 599-8488,Milk,MILK
20284,Biggby #564 Traverse City,13936 W Bayshore Dr,Traverse City,MI,49684,517-802-9890,Milk,MILK
20265,Biggby #565 Traverse City,748 Munson Ave Ste 3,Traverse City,MI,49686,231-642-5555,Milk,MILK
